[9,5,1,1,1,1,5,1,3,13,1,1,1,1,5,3,],
[8,7,10,10,10,14,9,2,12,3,10,14,14,12,3,10,],
[10,9,4,2,8,1,2,8,3,8,2,9,5,1,0,6,],
[12,4,1,0,6,10,12,2,12,2,14,8,3,10,8,7,],
[9,5,2,12,1,4,3,12,5,6,9,6,10,8,0,7,],
[8,7,12,3,8,7,10,13,3,9,4,5,2,10,8,7,],
[8,5,1,4,4,3,12,7,12,0,5,1,6,8,0,7,],
[8,5,2,9,3,8,3,9,3,10,11,14,9,6,8,3,],
[8,5,4,2,10,14,10,12,4,6,8,5,4,7,10,10,],
[8,5,5,4,0,1,2,9,5,7,10,11,9,5,4,2,],
[12,1,5,3,14,10,12,4,3,11,12,0,4,3,11,10,],
[9,4,7,8,5,0,5,1,4,4,7,14,9,4,0,6,],
[12,3,9,6,11,10,13,0,5,7,9,3,14,9,2,11,],
[9,4,0,5,2,10,13,0,7,13,2,10,9,2,12,2,],
[10,11,8,5,2,10,13,0,5,7,10,8,6,8,5,2,],
[14,14,12,7,12,6,13,4,5,5,6,12,5,4,5,6,],
