[9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,],
[12,3,9,5,1,5,1,1,5,1,5,1,5,1,7,10,],
[11,10,8,7,10,11,10,10,13,2,9,6,11,8,5,2,],
[8,6,10,13,2,14,10,8,7,8,6,13,0,2,9,2,],
[12,3,12,1,4,1,4,4,5,2,13,1,6,8,6,10,],
[9,6,11,14,11,10,13,3,9,2,9,6,13,2,9,2,],
[12,3,8,5,2,14,9,4,6,8,0,5,3,8,2,10,],
[9,2,8,5,6,9,6,9,3,10,12,3,10,10,8,2,],
[10,10,10,13,1,6,11,8,6,12,5,4,6,12,2,10,],
[8,2,10,9,4,7,8,2,9,7,9,5,5,3,8,2,],
[10,12,2,12,3,9,6,12,2,13,6,11,11,12,2,10,],
[8,5,0,7,12,4,5,3,12,5,5,4,0,7,12,2,],
[8,1,6,9,5,1,7,14,11,13,1,5,0,5,3,10,],
[10,8,3,12,1,4,1,5,2,11,12,1,6,11,14,10,],
[8,2,14,9,4,1,4,3,8,0,3,8,5,0,1,2,],
[14,12,5,4,5,4,5,4,6,14,14,12,7,14,14,14,],
