[9,5,1,7,9,5,5,3,9,1,5,5,5,5,5,3,],
[10,13,0,5,4,5,7,14,10,8,7,13,1,7,9,6,],
[10,13,0,7,9,3,9,3,10,10,11,13,0,7,12,3,],
[10,11,12,5,6,12,6,10,10,8,2,13,4,7,13,2,],
[12,4,5,5,5,1,1,6,10,10,8,5,3,11,11,10,],
[9,3,9,1,5,6,10,9,6,14,8,5,4,2,10,10,],
[10,12,6,14,13,5,4,4,7,13,6,11,13,6,10,10,],
[12,5,5,1,5,5,7,9,1,5,1,4,5,5,6,10,],
[9,1,3,8,3,9,3,12,6,13,2,11,9,3,9,2,],
[10,10,10,10,10,10,10,11,11,11,10,12,6,12,6,10,],
[10,10,10,14,12,4,4,2,10,8,6,9,5,1,5,2,],
[10,10,10,13,1,5,3,10,10,8,3,12,3,12,3,10,],
[10,10,10,9,6,13,4,6,10,10,12,3,12,3,12,2,],
[10,10,8,6,9,5,3,11,8,2,11,12,3,12,3,14,],
[10,10,14,9,6,9,6,10,10,14,12,5,2,11,12,3,],
[14,12,5,6,13,4,5,6,14,13,5,5,4,4,5,6,],
