[9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,],
[10,9,5,5,5,5,5,5,5,5,5,5,5,5,5,2,],
[10,10,9,1,5,5,1,5,5,5,5,5,5,5,5,2,],
[10,10,10,12,5,3,12,5,5,3,11,9,3,9,1,2,],
[10,10,8,5,1,6,9,5,5,6,10,10,10,10,14,10,],
[10,10,10,9,0,7,12,5,5,5,2,10,10,12,3,10,],
[10,10,10,10,14,11,9,5,5,3,10,10,10,9,6,10,],
[10,10,10,12,3,10,10,9,3,10,10,10,10,12,3,10,],
[10,10,10,9,4,2,8,4,6,10,8,2,12,3,10,10,],
[10,10,10,14,9,2,12,5,1,6,14,8,3,12,2,10,],
[10,10,10,9,2,14,11,9,6,9,3,14,12,3,14,10,],
[10,10,10,10,14,11,8,6,9,6,10,13,5,4,3,10,],
[10,10,10,12,1,6,12,5,4,7,10,9,3,9,2,10,],
[8,2,10,13,4,5,5,5,5,5,4,6,12,6,10,10,],
[10,10,12,5,5,5,5,5,5,5,5,5,5,5,6,10,],
[14,12,5,5,5,5,5,5,5,5,5,5,5,5,5,6,],
