[9,5,5,5,5,5,5,1,1,5,5,5,5,5,1,7,],
[12,3,13,3,9,3,9,6,12,5,1,7,11,13,0,7,],
[11,12,3,10,10,14,12,3,13,1,6,9,6,13,0,7,],
[8,3,12,2,12,3,9,6,9,6,9,6,11,13,0,7,],
[10,12,3,12,3,10,14,9,6,9,6,9,6,13,0,7,],
[10,11,12,3,12,2,11,14,9,6,9,6,11,13,0,7,],
[8,4,3,12,3,12,2,9,4,5,6,9,6,13,0,7,],
[8,7,12,7,8,7,10,8,1,3,9,6,11,13,0,7,],
[8,7,9,7,12,7,10,8,6,12,6,13,0,5,0,7,],
[10,9,6,9,7,9,6,10,11,11,13,3,14,13,0,7,],
[8,2,11,10,9,6,11,12,2,12,3,12,3,13,0,7,],
[10,12,6,8,6,11,12,3,12,3,12,3,12,5,0,7,],
[8,3,9,6,11,12,3,12,3,12,3,12,3,13,0,7,],
[14,8,4,1,4,3,12,3,12,3,12,3,12,5,0,7,],
[9,6,9,4,7,12,7,12,3,12,3,12,3,13,0,7,],
[14,13,4,5,5,5,5,5,4,5,4,7,12,5,4,7,],
